Temperature,Vibration,Current,RPM,Status
55.41,0.65,1.8,1301,Warning
79.89,2.77,2.8,975,Fault
66.1,2.97,0.81,822,Fault
68.89,0.36,4.19,1065,Fault
55.72,0.11,3.78,1117,Fault
58.18,1.95,1.51,1356,Warning
45.38,1.1,2.39,1109,Warning
73.75,3.79,2.97,1126,Fault
70.15,2.47,3.6,1098,Fault
76.99,1.01,4.02,1437,Fault
63.75,2.18,1.88,1006,Fault
64.44,0.99,2.04,938,Fault
29.87,3.97,0.75,1130,Fault
32.03,2.58,1.01,849,Fault
56.64,2.15,2.55,1571,Warning
52.91,3.23,4.48,1655,Fault
56.25,3.27,1.01,1455,Fault
54.85,3.55,0.59,914,Fault
29.9,1.42,1.08,1268,Warning
31.7,0.99,1.8,1179,Healthy
28.65,2.35,2.44,1635,Warning
27.47,3.21,1.65,947,Fault
77.07,2.56,2.98,1464,Fault
71.98,0.83,2.64,840,Fault
30.1,1.32,2.77,951,Warning
61.71,2.93,2.15,1344,Fault
52.32,1.48,2.96,1120,Warning
51.13,0.39,3.82,1651,Fault
44.85,1.46,3.33,1028,Fault
74.63,3.27,3.07,1549,Fault
33.34,0.89,2.69,813,Warning
52.39,3.23,1.43,1478,Fault
29.01,1.66,1.88,1051,Warning
65.82,3.2,4.11,989,Fault
27.11,0.15,2.64,1380,Warning
68.46,2.57,3.37,1795,Fault
61.53,0.83,2.94,1267,Fault
47.84,0.61,2.31,1736,Warning
27.39,1.6,4.25,1441,Fault
75.23,3.46,0.96,1673,Fault
75.02,2.39,2.4,1069,Fault
39.03,2.59,1.35,1702,Fault
66.45,2.32,2.16,861,Fault
47.88,1.83,1.94,1034,Warning
41.31,3.71,0.94,1790,Fault
59.46,0.8,0.82,1510,Warning
79.75,3.27,3.11,966,Fault
72.26,3.73,3.77,1063,Fault
68.33,1.03,3.45,1067,Fault
58.18,1.56,2.91,1796,Warning
70.62,0.88,3.12,1725,Fault
44.25,3.75,2.95,1321,Fault
41.85,3.15,3.94,1218,Fault
73.21,1.96,2.81,1040,Fault
61.7,1.04,2.52,801,Fault
29.84,0.33,0.51,1705,Healthy
37.89,0.71,1.64,845,Healthy
51.79,0.39,2.06,812,Warning
55.95,0.42,3.72,1021,Fault
70.94,1.06,2.55,1727,Fault
39.31,3.86,2.05,1662,Fault
51.05,3.39,3.84,1351,Fault
41.16,2.69,2.23,971,Fault
38.35,2.91,2.25,1016,Fault
59.3,0.11,4.13,1140,Fault
56.45,2.79,0.86,1038,Fault
60.5,1.73,3.62,1429,Fault
68.65,3.94,4.09,1416,Fault
65.99,1.33,1.39,1791,Fault
49.62,0.15,3.49,1776,Fault
77.29,2.79,3.59,1704,Fault
68.51,2.49,0.68,925,Fault
65.43,0.81,0.83,1742,Fault
68.43,3.86,3.21,1135,Fault
42.17,2.94,3.38,1625,Fault
64.89,1.51,1.01,1546,Fault
43.94,1.62,1.38,1362,Warning
44.77,1.27,3.72,1344,Fault
47.05,3.61,3.1,887,Fault
42.71,3.69,0.79,1170,Fault
31.95,3.35,3.86,1366,Fault
47.71,3.64,0.61,1008,Fault
56.02,0.67,3.86,885,Fault
32.2,0.27,2.1,1538,Warning
59.6,1.33,4.44,1596,Fault
59.56,1.69,3.29,1615,Fault
53.23,3.27,0.67,1707,Fault
28.75,1.28,1.93,1361,Warning
75.85,0.29,4.28,1693,Fault
67.83,2.93,4.27,968,Fault
53.21,1.39,2.51,1749,Warning
48.73,3.62,4.06,1445,Fault
37.75,2.97,0.73,1419,Fault
58.47,0.71,3.16,1068,Fault
60.4,1.28,3.13,1449,Fault
41.88,3.84,1.74,1318,Fault
64.24,2.87,4.42,1573,Fault
65.98,1.88,2.19,1153,Fault
40.74,2.43,4.08,1783,Fault
61.17,2.91,3.52,1434,Fault
44.02,2.04,1.82,1024,Warning
44.52,3.58,3.54,1634,Fault
77.01,3.32,0.99,1233,Fault
47.5,3.92,3.73,1295,Fault
74.23,2.88,2.95,1334,Fault
51.91,2.5,3.12,939,Fault
33.34,0.23,2.43,1432,Warning
36.36,2.1,2.26,1705,Warning
48.25,1.92,4.38,1477,Fault
41.03,1.97,2.51,1238,Warning
40.55,0.98,2.42,1355,Warning
60.77,0.91,2.51,947,Fault
52.52,3.37,1.82,1067,Fault
37.72,1.74,3.78,1582,Fault
52.74,1.31,3.4,1068,Fault
38.57,3.6,2.02,1245,Fault
28.91,1.27,4.22,1198,Fault
36.79,1.97,3.78,1639,Fault
66.86,0.1,3.54,1411,Fault
32.13,2.64,0.89,1388,Fault
38.86,0.92,3.82,1084,Fault
64.16,1.44,3.37,1291,Fault
37.86,3.14,2.93,909,Fault
26.99,0.59,0.91,996,Healthy
50.38,2.61,2.25,1108,Fault
73.82,2.47,4.36,1317,Fault
60.79,3.75,3.95,1663,Fault
44.03,2.39,3.77,1050,Fault
75.19,2.5,2.23,915,Fault
38.63,0.38,0.61,1546,Healthy
61.24,3.44,2.32,1406,Fault
64.26,1.65,1.26,1233,Fault
37.19,3.69,2.43,1791,Fault
73.42,2.63,1.73,1720,Fault
68.9,2.26,4.4,1607,Fault
68.93,0.22,1.23,1605,Fault
79.13,3.3,2.62,1106,Fault
51.16,0.29,0.77,1124,Warning
34.87,3.51,3.41,809,Fault
62.03,2.43,1.52,1770,Fault
61.59,1.83,1.28,1765,Fault
31.44,2.78,4.43,869,Fault
27.42,1.89,3.04,1087,Fault
67.19,3.49,3.29,1194,Fault
25.13,1.59,2.44,1042,Warning
76.15,1.19,2.86,1309,Fault
28.31,2.16,2.97,1515,Warning
52.98,3.91,3.35,877,Fault
50.45,1.52,3.2,829,Fault
57.66,0.18,2.32,880,Warning
28.14,2.88,4.08,1443,Fault
67.62,2.44,3.29,1638,Fault
67.71,1.79,2.42,1782,Fault
60.09,3.09,3.81,1312,Fault
25.1,1.65,2.38,1635,Warning
71.89,2.69,1.0,1183,Fault
79.93,0.87,2.39,1050,Fault
51.33,0.41,3.46,1754,Fault
71.74,2.69,0.55,1108,Fault
64.29,4.0,3.16,1202,Fault
66.18,2.14,0.72,1049,Fault
45.79,2.87,3.61,1471,Fault
68.67,2.73,2.73,1527,Fault
56.48,2.83,3.79,828,Fault
61.17,1.09,2.97,1705,Fault
53.76,1.98,3.23,1164,Fault
50.51,3.87,2.74,933,Fault
33.42,3.12,1.53,1429,Fault
49.42,2.48,0.97,840,Warning
59.39,2.25,2.55,1449,Warning
51.74,2.45,2.53,946,Warning
29.76,3.15,3.99,1657,Fault
26.9,2.65,1.72,1693,Fault
26.32,0.15,4.45,1633,Fault
76.89,2.4,2.41,1175,Fault
66.01,1.26,0.89,817,Fault
49.03,3.95,2.21,1255,Fault
31.53,1.6,2.54,1535,Warning
78.91,2.15,3.25,1634,Fault
48.03,1.37,2.97,1381,Warning
76.07,0.26,1.66,1728,Fault
47.04,0.53,2.47,1236,Warning
37.28,3.83,1.64,1320,Fault
30.5,2.74,3.11,1046,Fault
57.34,3.35,0.85,983,Fault
49.87,1.96,4.13,1736,Fault
62.84,1.07,4.24,1790,Fault
53.45,1.44,1.87,957,Warning
68.31,1.27,1.1,1790,Fault
63.58,3.29,3.17,1164,Fault
34.07,2.7,2.96,1306,Fault
65.17,3.34,1.44,1794,Fault
30.85,0.78,2.35,1684,Warning
40.73,2.8,1.85,1657,Fault
56.39,2.2,3.96,1498,Fault
69.03,2.5,2.26,1750,Fault
33.65,1.81,1.86,1091,Warning
48.22,2.56,0.66,1223,Fault
58.74,3.14,3.84,1311,Fault
79.56,3.8,1.74,1118,Fault
57.29,3.87,3.57,1699,Fault
72.19,2.21,2.95,1582,Fault
42.95,2.66,1.07,1101,Fault
25.86,1.91,2.32,1205,Warning
42.04,0.19,1.73,824,Healthy
42.13,0.76,0.71,1343,Healthy
71.95,2.6,2.21,836,Fault
41.29,3.64,3.98,1708,Fault
52.78,3.97,1.84,1550,Fault
54.54,1.3,1.25,1599,Warning
28.73,0.86,0.88,1248,Healthy
56.82,3.18,1.67,867,Fault
48.48,0.17,3.18,1131,Fault
76.81,0.59,0.81,1385,Fault
34.88,0.79,2.63,1705,Warning
68.89,0.27,0.83,1764,Fault
69.44,1.32,2.28,1702,Fault
26.13,0.69,4.42,1346,Fault
30.21,2.07,1.64,1083,Warning
67.62,2.72,4.07,1352,Fault
47.08,0.9,1.34,1257,Warning
32.65,1.63,1.37,979,Warning
46.66,2.29,2.44,1028,Warning
69.42,2.76,3.05,1529,Fault
75.74,3.54,1.37,1165,Fault
38.73,2.74,4.42,1156,Fault
