Temperature,Vibration,Current,RPM,Status
66.63,3.02,4.18,1458,Fault
68.42,0.94,2.73,1174,Fault
42.1,1.8,1.39,847,Warning
55.21,3.16,3.1,809,Fault
75.99,0.56,3.27,1004,Fault
33.9,2.52,0.82,1136,Fault
72.17,3.37,0.99,897,Fault
27.55,0.93,1.73,1440,Healthy
43.37,0.34,3.27,1696,Fault
43.32,2.3,3.65,1789,Fault
47.66,3.26,3.13,995,Fault
50.72,3.64,1.88,1379,Fault
73.37,3.75,1.81,1368,Fault
52.04,1.1,1.73,1406,Warning
79.42,1.37,2.72,1452,Fault
39.5,2.99,3.17,1001,Fault
42.9,3.84,1.66,829,Fault
50.14,3.84,2.27,1587,Fault
46.2,3.0,3.46,1098,Fault
25.84,0.89,4.36,1578,Fault
29.61,3.08,2.21,1779,Fault
56.6,0.95,2.7,952,Warning
57.31,2.04,1.17,1771,Warning
37.15,0.25,3.1,1337,Fault
79.76,1.4,1.34,838,Fault
64.21,1.42,2.86,1173,Fault
71.1,0.65,0.51,886,Fault
43.18,2.79,0.5,1520,Fault
37.52,0.16,4.21,1365,Fault
68.14,1.78,2.7,1419,Fault
30.05,2.34,1.83,1616,Warning
70.64,0.92,1.4,1722,Fault
59.1,2.57,1.5,1142,Fault
31.6,2.82,4.16,811,Fault
59.82,0.72,0.59,875,Warning
48.84,2.64,3.07,1709,Fault
66.8,1.93,0.59,1676,Fault
37.88,0.8,2.7,1061,Warning
32.79,0.46,1.7,1583,Healthy
26.71,2.13,2.12,1067,Warning
29.15,2.23,2.33,899,Warning
39.79,0.58,0.74,1174,Healthy
57.36,2.94,2.08,1687,Fault
40.02,2.63,1.43,1406,Fault
40.9,2.76,1.95,1745,Fault
40.28,3.17,3.03,1454,Fault
33.21,1.21,4.08,1269,Fault
27.28,0.26,1.23,1775,Healthy
42.05,2.19,4.23,1095,Fault
34.97,0.77,0.96,933,Healthy
62.73,1.13,0.54,1201,Fault
61.91,0.47,1.45,821,Fault
54.34,0.46,2.45,878,Warning
60.59,2.8,3.42,1646,Fault
61.6,2.5,3.58,1780,Fault
56.24,2.65,0.82,1639,Fault
41.01,0.34,1.1,1282,Healthy
45.46,2.88,3.33,839,Fault
45.78,2.45,2.27,945,Warning
63.09,1.41,0.94,1068,Fault
59.58,3.9,4.17,1617,Fault
65.51,1.69,4.01,1461,Fault
27.69,3.64,3.96,1004,Fault
34.04,3.04,1.14,1790,Fault
26.11,3.64,4.42,1662,Fault
72.52,0.39,0.5,1259,Fault
79.93,0.59,0.93,1299,Fault
41.51,1.34,3.06,904,Fault
43.51,3.22,1.54,1492,Fault
55.34,2.6,4.49,1335,Fault
60.32,2.11,0.9,945,Fault
37.76,3.83,1.98,1420,Fault
41.17,3.06,4.1,1397,Fault
25.79,1.22,1.82,926,Warning
49.89,2.27,1.71,1707,Warning
34.52,2.25,0.94,1777,Warning
79.06,1.77,2.04,1448,Fault
75.92,2.45,1.15,901,Fault
49.98,3.36,3.27,1682,Fault
64.21,2.78,2.22,1312,Fault
47.25,2.61,0.5,1449,Fault
74.67,0.37,4.33,1639,Fault
29.12,2.6,2.55,917,Fault
45.2,1.32,1.5,947,Warning
60.04,3.36,1.04,1508,Fault
40.63,0.82,3.07,1129,Fault
50.24,0.51,0.54,1556,Warning
50.47,3.29,4.41,1653,Fault
27.55,1.86,2.59,1418,Warning
61.77,3.38,3.72,841,Fault
25.6,0.36,3.2,954,Fault
43.81,3.34,1.01,1395,Fault
50.66,2.46,3.89,1791,Fault
56.56,2.93,4.32,1694,Fault
53.14,1.74,0.65,914,Warning
64.08,3.99,3.91,1154,Fault
66.52,2.3,3.4,1282,Fault
27.78,3.82,1.46,1772,Fault
36.7,2.74,2.36,1493,Fault
43.12,1.1,2.55,1439,Warning
79.07,2.01,2.05,1502,Fault
34.36,1.86,2.29,882,Warning
27.2,2.04,4.43,1094,Fault
53.11,0.27,3.8,1526,Fault
64.34,2.92,0.91,1097,Fault
34.62,0.34,3.98,1348,Fault
76.63,0.68,1.5,1611,Fault
28.41,3.43,1.81,1330,Fault
39.81,2.56,1.78,998,Fault
36.35,0.64,3.86,1110,Fault
34.43,2.35,4.4,1391,Fault
30.89,3.48,3.68,926,Fault
37.86,3.01,2.43,1522,Fault
36.46,1.03,3.18,920,Fault
56.52,0.56,2.05,1563,Warning
55.27,3.91,3.51,1361,Fault
52.5,3.83,3.26,1593,Fault
69.44,1.94,1.93,1012,Fault
42.11,3.2,0.83,1621,Fault
73.96,2.02,3.46,1109,Fault
55.09,3.89,4.05,967,Fault
43.99,2.32,1.89,871,Warning
79.06,0.72,4.03,1131,Fault
53.65,3.45,1.63,1485,Fault
69.94,1.3,2.64,1140,Fault
31.29,2.91,1.68,1418,Fault
61.41,1.71,2.67,1770,Fault
34.4,3.49,2.96,1540,Fault
34.71,3.28,2.24,1727,Fault
28.49,2.33,2.9,1302,Warning
33.14,0.39,2.36,1101,Warning
71.8,3.5,2.85,1207,Fault
72.85,1.48,2.16,1627,Fault
71.25,1.35,2.26,992,Fault
53.83,3.3,1.31,1127,Fault
34.31,1.21,0.62,1274,Warning
60.75,3.55,4.31,1604,Fault
49.17,1.97,1.19,960,Warning
58.25,0.17,3.82,1743,Fault
72.19,2.08,4.42,1490,Fault
41.05,2.36,4.39,1263,Fault
69.97,2.1,3.09,925,Fault
54.87,3.13,0.76,1744,Fault
26.41,1.42,1.4,1706,Warning
40.66,0.41,2.69,994,Warning
49.22,3.32,2.8,1518,Fault
55.87,0.5,0.87,1569,Warning
71.88,1.39,4.17,1313,Fault
51.25,2.14,3.86,1365,Fault
65.94,3.89,0.94,1738,Fault
50.01,3.85,0.98,1318,Fault
41.25,1.78,1.16,1119,Warning
60.22,1.36,2.97,1711,Fault
52.25,2.61,1.31,1084,Fault
40.23,3.74,1.25,1458,Fault
25.47,1.38,1.3,1044,Warning
65.8,1.47,4.04,886,Fault
68.96,0.36,1.59,942,Fault
34.65,1.13,2.36,1309,Warning
70.92,0.14,3.94,1273,Fault
76.76,0.66,1.79,1648,Fault
31.76,0.38,1.82,1565,Healthy
60.27,3.32,2.58,1278,Fault
38.22,0.12,4.27,837,Fault
35.45,0.17,4.22,1552,Fault
43.33,2.37,3.85,1649,Fault
26.33,0.82,1.81,1458,Healthy
67.64,3.7,0.69,863,Fault
46.68,2.14,3.34,1371,Fault
66.43,0.79,4.44,1525,Fault
28.39,0.34,4.36,1154,Fault
66.88,3.47,1.43,911,Fault
76.84,0.94,2.83,905,Fault
49.61,0.36,3.78,1774,Fault
57.2,1.03,2.01,1291,Warning
72.04,1.05,2.28,1342,Fault
51.32,2.86,1.43,1800,Fault
38.36,0.77,4.01,1023,Fault
43.24,1.27,1.6,1792,Warning
73.68,2.9,4.21,1757,Fault
56.12,1.02,0.81,1449,Warning
25.8,2.6,3.73,1062,Fault
25.21,2.3,1.25,866,Warning
77.34,2.36,3.27,1589,Fault
52.15,3.32,2.76,1076,Fault
27.73,0.58,1.0,1545,Healthy
65.27,0.72,0.55,1363,Fault
66.41,2.59,2.39,852,Fault
72.67,1.01,2.22,1044,Fault
75.15,2.02,2.59,1657,Fault
62.48,2.55,1.49,1035,Fault
36.37,3.3,3.75,1640,Fault
71.37,1.4,4.01,814,Fault
64.12,1.07,2.54,1204,Fault
53.81,1.07,0.67,983,Warning
50.9,3.22,0.56,1696,Fault
71.91,1.31,1.67,984,Fault
66.33,2.15,3.82,926,Fault
75.43,3.73,3.88,1339,Fault
34.62,2.5,4.24,1549,Fault
49.99,0.7,2.94,1466,Warning
75.02,2.23,2.89,864,Fault
76.88,3.32,0.53,1485,Fault
34.52,2.05,2.7,815,Warning
29.52,3.03,1.08,1528,Fault
33.2,2.9,2.72,1113,Fault
31.73,3.29,1.26,1359,Fault
69.01,0.4,1.08,1523,Fault
62.28,3.93,3.78,967,Fault
68.14,1.5,2.36,1337,Fault
49.68,3.42,0.5,1631,Fault
37.76,0.69,3.22,1263,Fault
50.99,2.53,3.11,1449,Fault
54.87,1.09,0.59,1091,Warning
43.44,0.34,1.54,1282,Healthy
73.55,1.03,2.27,1139,Fault
37.32,2.26,3.52,1619,Fault
32.77,2.26,3.93,845,Fault
68.99,2.51,4.48,1318,Fault
73.14,3.37,1.82,1235,Fault
39.42,2.61,0.89,1660,Fault
28.03,3.33,2.59,1632,Fault
39.16,2.64,3.52,927,Fault
62.0,1.78,0.55,1581,Fault
71.34,3.01,2.94,1590,Fault
46.82,3.46,2.95,847,Fault
58.74,0.58,3.29,1729,Fault
36.84,3.48,3.81,892,Fault
74.09,0.68,2.12,853,Fault
31.63,1.74,0.95,1279,Warning
55.08,4.0,2.46,884,Fault
35.88,3.79,2.21,1256,Fault
60.06,3.52,3.89,1619,Fault
